"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"Procter & Gamble",1999,"Procter&Gamble_1999",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Banrisul",2000,"Banrisul_2000",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Hitachi High-Technologies Corp.",2000,"HitachiHigh-TechnologiesCorp._2000",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Procter & Gamble",2000,"Procter&Gamble_2000",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Vancity",2000,"Vancity_2000",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Aspen Snowmass",2001,"AspenSnowmass_2001",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2001,"Banrisul_2001",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Ericsson",2001,"Ericsson_2001",NA,"Large","Telecommunications","Technology and Communications","Sweden","Europe",NA,"english"
"Nichicon",2001,"Nichicon_2001",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2001,"Procter&Gamble_2001",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2001,"Ricoh_2001",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Yanacocha",2001,"Yanacocha_2001",NA,"Large","Mining","Extractives and Minerals Processing","Peru","Latin America & the Caribbean",NA,"non-english"
"Aspen Snowmass",2002,"AspenSnowmass_2002",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2002,"Banrisul_2002",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Canfor Corp.",2002,"CanforCorp._2002",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Codelco",2002,"Codelco_2002",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"JFE Holdings",2002,"JFEHoldings_2002",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Nichicon",2002,"Nichicon_2002",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2002,"Procter&Gamble_2002",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2002,"Ricoh_2002",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Starbucks Coffee Company",2002,"StarbucksCoffeeCompany_2002",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"TIM",2002,"TIM_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"Toppan",2002,"Toppan_2002",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"Vancity",2002,"Vancity_2002",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Vodafone Italy",2002,"VodafoneItaly_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"Westpac Banking Corporation",2002,"WestpacBankingCorporation_2002",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"Aspen Snowmass",2003,"AspenSnowmass_2003",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
